v1000_1,v1000_2,v1000_3,v10000_1,v10000_2,v10000_3,v50000_1,v50000_2,v50000_3,v60000_1,v60000_2,v60000_3
86472,37399,1352,60560,89328,12290,6781,72335,3289,25721,44299,45057
29476,32043,98174,68399,62175,79522,33287,86259,83,10792,13796,58024
75931,87649,49420,612,99675,39907,66760,89562,90755,45567,13787,85202
29013,89731,80616,52879,57469,95074,85111,83382,5284,9473,66967,98902
91663,27903,49203,75632,25151,61195,36811,9432,89979,19761,21916,64832
4502,53281,41047,67597,90277,5271,27194,63729,69429,54807,86562,99591
35108,36174,22302,7401,18260,25520,47140,10192,62168,63775,10604,7270
39134,67608,15067,67884,78909,49087,18290,80867,31279,56466,20301,9207
63461,93023,24211,52977,37421,71508,60625,96933,77187,4730,15785,97622
60606,58408,24065,89737,1531,46225,94777,18737,77218,33771,45434,11954
19635,12191,93714,89780,48040,5521,41697,27194,45007,42552,35884,637
85452,14607,63213,9907,65115,50600,28316,91144,63392,11433,20673,41887
51157,51350,64300,89462,99348,39370,84132,32064,90869,34986,93183,5103
73458,42915,63438,1693,58906,295,56360,82422,26713,75969,12711,10590
71376,36956,76122,80929,67918,41370,65508,44810,59467,98441,28258,27164
46821,92608,65375,25958,87110,39248,48625,70022,15842,15782,3649,56798
90659,45858,50412,78048,47575,4642,43967,10706,20991,62402,48525,80463
83933,67759,99726,51110,74679,26515,65023,20301,10464,61950,55268,36659
83726,64928,30334,26018,58842,38762,63506,83756,61840,17399,37526,42956
86953,99079,10769,86221,38900,83709,77413,17907,44119,62452,91590,67312
68660,95023,34935,10160,43442,90944,48258,2279,19092,17579,95058,34360
69245,8880,85492,3676,21470,97881,84704,21642,46705,96185,25026,47672
32014,59314,70388,91565,91577,55286,28836,57981,52792,55387,49291,1964
82324,37959,12798,14106,43999,24335,84397,39917,47315,68620,54459,11770
59401,27100,44314,15561,40720,63908,61226,59966,70785,93918,35461,66607
16649,49314,37724,92381,50814,26532,9455,30768,60787,17543,76967,33141
97439,83811,78755,31726,96885,55636,17282,8349,23888,67658,43803,45276
46125,89360,9638,6099,86400,3586,13632,72579,9494,22133,94294,28426
21921,87443,73751,52404,91913,20257,9243,80380,90724,67428,64689,96679
84297,25056,11091,75585,40257,38487,33602,82868,2403,956,2934,73947
43304,89433,26521,85364,47679,40869,32239,14408,40803,10389,89045,73296
94313,7055,52178,55069,69662,28325,95565,7114,27536,46718,2394,77995
2140,83151,83145,22829,9274,2965,32347,85630,99466,21518,22337,18712
83360,19263,9776,95734,59700,68214,17013,478,83727,76368,42443,65714
95311,5425,99094,81179,39628,89279,55992,27652,20869,7420,26304,72732
32112,45511,81456,7996,72654,10552,52481,51936,42096,67482,63098,63793
59160,12474,64170,85621,44749,14861,82540,5812,53516,46010,64129,54170
43560,17347,44283,84831,87916,38786,82179,23285,4285,91111,41477,2372
90093,97901,28250,31271,63814,14981,75576,42315,86048,34783,99072,83464
13939,10951,93367,27584,38785,48202,44466,36978,40445,5644,36267,99041
85769,52272,45638,53200,91446,13109,93853,48175,30131,12800,18179,6557
57452,66166,50792,48983,91077,10044,29223,45790,16612,23532,88249,32599
4209,9389,78118,83302,74366,83453,51585,2113,47358,32885,44548,77337
14141,42646,65671,22511,97028,70066,98257,67708,650,13712,34988,87872
2049,70799,11196,76382,58619,64163,20182,96440,8218,24983,68271,34180
92688,27908,13287,50001,87364,32175,26437,55,98475,25801,83169,33216
22529,1107,3649,34653,75908,16418,81404,9219,54047,8232,58735,30041
29818,52797,31360,47481,10149,10507,25336,43287,54795,75009,92233,30521
33742,39146,20491,49521,4369,95937,56934,34600,96140,67359,41875,5233
77134,6320,34861,70964,40251,16086,91452,47831,3195,18090,40229,90086
66595,42721,67860,57478,56261,27926,33097,290,21600,73475,19010,79560
87848,11371,60083,98485,26081,96444,65733,36332,77441,53641,29472,84596
89815,29674,79681,31805,42638,9795,80491,89730,46326,13784,53197,15370
31117,349,59773,32900,53882,53238,77350,27849,35596,95622,31546,32546
1541,3754,48279,98132,4886,20514,4781,53583,54548,26789,9620,84053
59686,29873,6149,63619,31260,97477,25746,86962,61653,55463,85548,43855
82380,38758,26062,32439,98781,37331,78649,69527,54108,96579,9529,88564
47985,97083,49688,55912,41508,39258,13196,57389,37644,3359,79682,40405
75811,43651,61192,35288,36051,2953,61487,15106,30395,53898,11339,21869
58784,68877,53698,20428,15042,69491,80211,175,41336,60135,46620,68615
43537,27022,78360,18104,90756,28265,62006,56416,18949,90498,4677,68628
63792,38827,46343,93896,53861,58114,28618,26442,74121,62015,89542,63171
40231,53124,63719,12111,50841,62462,48989,98430,78135,4859,19062,88387
85345,87239,4155,86201,86245,2138,55941,66754,95863,15628,87544,61678
36508,46901,76443,89,8546,13350,27734,74156,31853,87762,96892,53866
88374,11386,24929,30272,20294,46574,41637,87458,37951,54467,49040,13752
21768,74073,98802,16704,83894,49767,80098,1467,54948,77316,46577,80666
99127,24931,97943,63090,22747,23450,22030,79705,7481,30207,84114,79787
59889,1840,31396,68702,19669,93954,7613,34216,54515,51968,66633,16897
63503,42680,61729,70065,39762,30893,28296,92201,70695,73310,94047,91388
83392,25451,27333,94765,14523,16012,84485,74619,93214,37615,43680,22845
87822,60094,88251,48237,99264,1292,79760,2434,94188,1848,59597,33783
97788,87360,27010,88382,83206,52670,82221,92438,39490,34458,85578,39435
36377,58366,93005,44631,90606,27880,92980,53504,20881,41236,39899,85850
31576,27871,65204,90465,1170,70826,76995,93530,83150,83317,14727,91175
52787,96853,85842,7877,53071,12779,77439,6039,79820,30987,68067,72103
38073,68681,72762,87748,78035,14326,42721,34734,27790,57650,47982,51948
67994,4039,62942,72547,85126,79961,3020,50098,26218,72237,88839,99380
40142,93534,79094,85086,77021,43511,43231,26385,5634,56446,74235,22473
62122,141,49694,27564,34572,97841,7010,15404,58646,12085,59053,95090
62939,14543,47417,10566,12007,3089,99046,5054,40100,43005,77377,33259
64653,99106,79633,84778,82473,60123,93023,7848,7071,37116,67513,43366
57013,89911,10233,44235,86704,86233,48461,37567,90849,20837,69484,64320
50728,29512,77768,46615,40934,53057,76020,37809,26352,94698,82401,32078
11692,12986,46789,99982,8227,97118,36926,16364,97662,85591,28781,87939
80227,89648,34045,64604,21020,88540,32001,9549,77520,53025,32135,23569
93976,70142,75959,3411,49815,73422,71396,45875,15688,44165,61906,37792
65577,84565,76134,85472,26564,80477,11100,61641,60641,39210,51960,42701
28896,46100,20047,87827,75631,12197,71568,26142,31053,30316,98532,11756
45118,27007,76444,18880,33899,71610,54350,57346,57872,50732,1217,44042
96193,19928,2920,85729,7245,1022,35863,94011,70561,61604,33386,72850
97458,68296,26955,67508,17935,40365,43575,93818,22202,45528,97533,63232
21374,84171,87328,28406,90392,47139,14158,81558,15028,22636,80562,78581
66994,91261,58797,86262,31019,479,36820,33016,46896,16881,55329,34413
54327,65205,7973,74101,33134,96137,72388,27540,19336,39460,37502,72216
25674,21311,93259,95460,64708,37640,34527,34506,29218,5947,36634,57825
1413,7030,66316,80404,23022,94169,62384,130,81993,2404,64448,54919
56296,50232,23391,33222,40876,5711,13523,19934,95951,52625,72252,44560
34103,10082,18748,82157,66762,61806,87096,8290,4095,8858,54643,4970
1109,85164,78217,86072,56396,21968,13556,90187,90418,27349,2912,27134
54178,17431,8225,90763,49726,36913,43529,44241,60344,70944,49875,43405
44635,68474,1487,79881,55619,4421,17792,83425,64570,70475,82247,43791
22883,78430,81558,2293,22241,55024,2514,21389,84651,4718,39946,45736
17186,15178,46818,96061,94723,6343,85428,98684,37826,70464,8720,21375
98623,61016,84313,17457,94936,5493,66362,51975,44761,11134,23030,86588
18033,63002,10326,71031,61011,12616,51661,72960,64272,8447,25375,95579
55616,61196,33143,70606,75446,7484,38640,48271,44593,75453,63224,72788
53699,83276,69188,43066,5603,62453,81616,1205,73403,31170,80044,18405
14502,65742,3354,53521,72663,4907,53372,20900,8880,52666,33357,59006
33141,37024,89427,34783,69404,18169,42112,3730,79633,39303,56845,58813
27865,44567,17148,97802,83245,70324,33913,12564,4346,32701,43195,70367
34158,15446,91925,73541,46689,40436,73285,62013,74802,82824,20797,30885
48532,16028,42310,49588,72489,20039,72916,73954,16552,39731,82129,78646
18320,49597,76891,95606,97165,39285,94834,35778,3476,43322,67974,38810
64070,42078,18883,58205,86971,57587,85421,34244,54661,69929,55105,17305
21274,14179,65574,32293,83434,18168,5854,89947,95690,56996,82129,62916
54383,89337,65335,57813,10845,34538,39202,75104,31821,82495,95402,15753
50880,37122,42302,81,55290,27724,30786,57733,18786,12893,43612,84546
94455,79635,50966,59120,47166,39046,26745,66297,47213,77943,12247,78059
99821,49237,68745,89183,87217,44319,68264,29137,85176,67186,21089,93446
36604,79792,70135,88597,89066,99718,20236,99602,11601,92424,24968,59667
96459,9133,48296,46819,11917,70641,44722,86188,40723,8805,55973,98664
30582,83803,46016,40732,13272,2247,29405,56519,3694,54507,24785,25303
17206,11364,86691,5032,45683,72047,9429,60328,15512,4186,19400,77350
38686,82723,33949,56656,97765,45940,55285,61559,37825,25905,82461,40361
13131,88675,75620,20564,43168,67623,31266,69122,89548,91287,52789,72797
44344,80485,83577,15781,25559,46700,88470,49408,71349,29622,64113,30706
26940,41178,47434,88245,88475,54662,89193,95938,91200,84823,16521,42401
5605,18982,66766,27825,43362,47698,53502,87239,2534,52444,68636,47352
57468,21992,48094,26582,68072,65412,73759,62124,4818,57213,10590,59997
29257,26098,23453,72831,69516,92110,73798,39864,20155,91644,57950,75241
11472,10220,29260,98309,81060,7954,72387,69293,30690,41922,5582,72106
36967,60700,11759,66246,80795,67195,87146,63861,85659,31924,97958,21095
10727,62891,1561,14751,64995,63867,58160,48536,7258,70616,62575,80081
60004,43962,27660,73617,34139,4541,62613,73267,79741,84135,57170,993
27814,61509,18874,51595,20164,30859,35748,98951,46046,5637,86623,47268
48820,82071,34245,52877,21952,85434,56975,39105,86346,49069,7719,98335
84339,14742,4760,41169,57389,39011,82743,56046,47436,43332,87481,55203
58051,80170,77542,19122,92240,20078,35440,45357,89339,33181,57895,51520
15620,28456,30507,93167,9473,74853,66083,76670,57826,79566,60646,16999
1652,39640,58134,80882,69709,74583,35412,48900,73311,48002,55549,52391
49540,54901,79935,43453,4102,97048,64175,20337,31542,47010,53626,73080
44701,73344,97486,53961,63424,86221,24540,722,17716,13744,98427,98089
43017,2197,41879,98123,40539,94024,44849,75764,88393,45495,84837,59751
25208,86840,12506,7782,89439,44407,84838,96582,66538,23945,25910,38059
11222,42716,66526,62680,54611,3132,72991,92950,83891,270,50682,20805
82355,68701,9140,93829,44092,96947,76199,96708,10616,5305,4357,68081
49700,84420,99956,38199,46847,14998,22325,23963,91107,42116,73298,61070
16628,82503,60171,32399,69278,51417,41546,87708,28074,87617,37521,3568
47287,25016,2624,6396,41187,44486,65886,18213,3805,51466,99854,8365
76229,78402,13623,20469,44824,80955,76678,74946,48011,17169,3530,17667
60003,45510,6707,71014,17449,25150,61245,81118,69730,75303,98225,65910
92654,39579,35999,98313,89699,70771,40276,73110,66554,23348,7300,36459
22193,39968,98848,4456,6982,7583,87815,38484,78301,76998,87836,92152
50891,64191,56766,75711,14263,59470,85562,31646,40282,47493,61172,89633
80719,64793,72639,98786,64475,57837,3025,91807,96360,13287,24567,80839
24709,44884,24821,10945,68762,92670,62488,405,3906,25721,34454,49805
95333,19399,55860,34667,79218,13735,56445,8865,46317,99470,31982,64725
73591,15253,58606,68384,67346,97376,66677,43601,91563,95485,16923,83323
3906,40259,29352,48339,25026,52204,92413,48238,15981,78192,73947,51931
97786,99412,64469,29776,4018,66987,55016,96788,86757,67278,23832,86188
78496,4203,95772,3711,3701,60905,72388,70023,59809,19327,64618,46126
65239,97491,58916,253,50582,17895,42260,8708,86303,96883,35828,45023
21614,62730,18387,10118,99509,26720,28870,57134,78665,98121,26174,90815
22944,31590,49721,99344,36849,4159,8529,92178,29138,90542,54719,97170
89539,56455,65901,1359,88935,1096,91450,28154,12373,92118,91277,99394
79526,84806,37138,58381,38991,37915,19609,68770,2310,53426,82551,8256
17483,13770,18738,95067,43816,4908,45459,63293,34342,70883,55659,61294
57681,14186,15140,15869,3401,45464,5335,39907,66761,3220,76273,37613
76207,39043,33782,86385,89527,11860,78758,69927,95928,2972,92730,99634
34261,30203,76599,34698,3054,30844,62088,55808,44892,31874,93345,19230
78492,15511,80045,76000,23627,87159,44671,42029,83708,70082,32494,34843
2945,96286,84198,5995,27961,73090,61304,39505,34333,90996,68746,72000
78574,6307,93534,3779,43158,4742,93470,52586,38761,68364,2046,70166
87525,70544,77775,60614,51364,2670,71447,37474,19494,58880,8821,31036
43354,52787,43616,95058,34465,30502,55170,76827,7990,52286,67150,6844
77985,62519,32344,29138,16151,415,82864,14292,50903,18136,8175,45882
92256,50219,14045,74640,42323,78527,32536,97189,16887,13952,98855,30380
18557,72246,81688,82479,33989,26012,19487,46809,1341,28816,75019,50033
15616,23796,21445,31402,36118,42988,43128,48591,7271,71932,8131,25476
58793,29846,32360,20534,76260,90398,48631,87569,77178,98452,7897,32369
32410,72164,91979,36046,63748,19324,53333,35995,1622,35419,43286,19885
67920,49611,22217,88208,14729,62853,68329,6112,44401,42601,37155,82356
83835,4074,51359,59221,13486,6207,75002,97664,91058,29022,84806,18625
82000,75355,39878,24369,47671,19822,16813,54916,86462,62355,70603,54922
12667,13202,16774,95957,12602,30834,23128,64169,36892,87589,5494,44280
24205,75452,40297,18587,52052,12260,90526,22338,88934,65975,58660,62316
25991,76201,53389,26374,29966,5991,23806,89720,38307,32899,65104,53759
3056,8543,11873,33626,13205,92455,75202,18854,80206,68907,98400,5496
56963,66383,1755,82308,32682,9606,69908,80748,40134,28252,66568,32407
92402,87639,16057,94983,85551,75092,41977,57776,11919,35976,68666,32102
91323,39974,48973,37428,9436,48829,22389,18519,65056,66064,5802,23707
63533,6103,92366,3006,55071,69292,48701,57223,56737,62121,65998,23672
5873,98920,93417,85099,57069,95553,44420,15222,6646,73364,60552,93924
21679,85110,39853,34525,10855,39550,22744,63932,35170,39103,30648,23771
10884,53317,57414,83756,70188,29563,92157,39161,175,84882,10622,11278
46806,16799,94721,13948,64923,34288,94983,26149,34170,20144,23785,71314
94393,38713,16281,41404,69619,75312,28484,2154,8400,68610,83580,75587
15503,53603,38937,57384,6818,24022,15763,45472,12909,95203,54062,13834
76217,81376,50826,93953,71878,32918,95006,3348,60062,38800,83930,47596
98568,68686,53693,82218,46384,8344,63530,1720,29145,1963,42467,71627
76589,95372,43324,12648,45500,12435,46744,20178,55543,29594,62671,22787
74515,78641,6554,78647,63569,44966,65475,59689,45652,17642,23973,8302
15444,40094,26596,10086,85993,41187,68871,76420,52487,4890,47250,75896
12008,85272,83031,35200,55084,61392,93794,51158,64824,76118,8645,95551
64401,41257,28037,38078,9632,88287,5701,51800,52688,41936,20364,23000
8160,45989,50820,18345,52936,45111,37987,13354,48716,53443,66358,70943
32741,5937,10844,15098,1561,9707,77764,74608,98851,2935,21721,6845
93196,87765,72539,93631,52021,89156,43781,88339,55534,4758,10182,81614
43037,79073,81910,88833,76661,29461,5012,26424,80196,66203,36190,63218
64330,44927,87755,84697,90935,70775,16879,50292,29930,65593,51411,45846
74699,87200,22043,83022,87983,40265,69284,81954,27240,85862,11380,27806
18640,76115,44316,18850,83535,64484,46739,37664,49561,14242,7517,94072
33064,35373,51663,94453,85560,14109,77838,42903,89444,82113,6033,91396
67317,51249,47306,12840,71221,28842,94805,33833,78219,59967,21905,62521
92713,39707,35965,17526,11940,6958,38840,18023,94876,28038,21913,84177
27817,29931,28356,49534,69100,13297,69998,56535,36606,48789,79092,22532
95730,39425,34563,31475,57365,4600,57301,21502,69531,80552,73597,39205
7193,3680,86294,34705,45450,17720,692,41912,63829,8913,20560,77017
58896,40504,39431,2795,22201,53005,49716,22829,52441,76953,10417,83457
79244,43495,64480,90091,16842,43752,46513,68059,50002,60389,60731,62644
18837,44683,43232,35860,61363,77058,98722,33577,70258,67761,44812,95796
81619,53361,22391,74336,40477,34701,56697,84705,5353,69232,95302,36405
48109,20319,9569,61131,99867,11414,80145,71177,19164,11563,11674,12693
69004,2421,96572,83200,23813,24111,52752,68689,85324,54657,93361,95424
40445,63460,2976,49936,23168,27629,74845,64031,46412,35469,13071,89499
52716,52677,77305,13369,75973,29458,22291,1641,94155,39099,70342,32906
73889,99890,6659,60663,44751,26650,54860,31803,97701,15260,5380,50767
22345,87668,5656,70386,99104,13815,78644,95262,84373,8104,7444,24313
63446,31908,98864,47579,50770,64884,11250,76330,11176,71927,46875,52000
89819,99234,73987,38081,96206,7844,88670,37690,71993,13467,43304,19087
53445,53532,51552,4458,62794,78296,60378,62059,34847,60128,72518,79388
52218,6832,6419,62197,68954,28323,33124,10900,3428,95196,89314,34454
42527,98439,48406,68630,94977,34214,74390,11215,10276,74620,65936,39363
57014,169,45452,81761,18095,99705,72506,91686,68089,64011,33702,49898
29371,55133,14426,73424,89377,34880,63820,63566,13250,28024,29428,12611
39842,5401,81203,80753,67492,76334,78917,81072,16698,87106,82849,51743
79812,8379,64248,64349,65776,41696,19240,42394,49561,92354,89545,44391
35537,52300,81569,65052,21874,66670,74705,33652,20866,98618,74324,84054
97749,83126,82615,6659,18125,62646,24780,22191,25282,62050,4459,93778
2802,49835,5974,50826,16230,2739,75082,91625,55736,94815,85952,85146
98000,59222,68449,18980,93320,36487,32024,46823,58209,25704,2871,49150
10768,83911,49041,1651,37122,85552,16123,55486,56819,35909,52143,40888
52805,12515,35825,10552,14846,59489,9703,10245,93907,72616,71881,82755
98770,41491,82799,88103,26302,90803,96311,67033,94845,19523,62854,31087
51098,61062,57987,67505,94335,20790,17942,76485,31080,86658,7238,8546
38633,61475,79294,43407,70815,43313,20755,81529,8416,96765,19290,55741
69665,73092,96927,49583,47884,86970,39113,78889,24901,1778,47840,31929
96647,10622,84883,43632,70474,95954,56311,85534,38409,52101,42648,87516
52411,13071,80161,72535,56869,94364,9778,79609,5089,87258,16800,91877
15010,85325,40060,90997,23270,37684,33432,33396,889,53279,54028,20578
17424,19678,66378,74167,37479,59012,55860,11504,58686,14697,55515,24554
22615,20710,3095,94971,62942,43325,83576,68848,88024,27802,81420,26753
17867,66311,92358,12157,58103,85667,41568,13913,94642,25226,74110,81079
23022,13299,57346,60998,26529,32435,34923,22978,37021,60005,90597,80418
55227,88586,14266,95513,69504,95226,42420,7127,69385,70994,64312,58446
83390,96895,64053,42896,78129,57719,24406,9590,49700,17189,92788,76753
29156,56806,93765,7267,7646,19858,80538,12025,86435,2279,68158,86078
98855,90509,653,99104,25611,39985,94774,61192,22624,6312,19999,20597
78210,85173,9876,34668,43917,80576,42014,30966,78322,4199,59034,52747
74765,70291,32399,57660,34414,67028,54427,14512,68468,26765,3427,13891
97859,34785,72496,58000,13785,22123,38485,26236,25775,34417,66750,95206
12847,2493,27913,80644,54082,19954,37305,47482,6537,67193,22194,77290
78919,11102,48667,96973,28220,12551,3089,56385,96613,57982,23,71889
47406,72828,76940,35217,94853,73845,36540,59753,12875,50897,34103,94681
28193,14554,95749,80253,29707,16393,32224,60687,62509,60686,80633,91579
43876,34370,9778,84045,93618,13641,11548,59527,43906,13725,68746,69757
60791,57608,39637,89730,32656,10414,10518,26743,21094,19750,83386,93764
6500,53878,83289,67102,68903,41957,91325,37077,28338,81089,31213,45779
60960,99071,18232,83220,37495,78278,9027,5207,74771,1303,65579,93090
56780,33662,2747,56806,20760,36808,4140,93947,9552,68924,85164,85387
34049,46189,44683,79793,98427,98649,77332,52770,41161,10272,12350,25121
18480,11231,37008,65146,36545,49608,73583,79657,24873,77256,89435,41381
12425,11378,43872,44750,78676,84949,85191,85556,41968,90856,15704,92879
41793,91376,11138,82141,96103,34768,51022,38724,25449,3199,95079,98834
17701,24883,25500,9508,27462,28621,43768,68522,90312,69592,6262,70817
99009,86803,49607,40390,93215,89417,6339,28701,78878,82315,89730,4194
95041,94919,35149,4376,58923,12560,82795,45815,97413,71202,95977,62022
8273,35384,58895,8304,70257,74908,55230,80963,87215,26448,48053,96241
84334,5956,64653,24914,22873,70140,32127,22251,3313,3161,60577,37917
9029,25946,63837,31988,43048,67571,76004,40372,58157,8457,42726,74056
78093,56115,8415,33230,1051,23242,80467,68342,66841,62823,56560,85871
89124,82651,18139,93383,8371,240,16191,84763,34631,71870,81830,88624
24072,2767,13911,99116,48621,82252,72221,34438,59616,55899,87090,20235
41807,72748,35164,55421,83898,90362,15430,48251,88391,92541,71203,14620
30479,53678,725,86752,44269,19176,99757,98088,70064,46530,79139,64559
18897,51094,30192,39983,54790,87016,68189,22863,12390,44936,78103,52922
36628,97962,40384,33888,2606,64625,20369,2461,57767,65223,27694,42563
42060,77586,77716,25652,40365,92040,74787,58973,3009,47523,4592,87956
6117,83713,94866,7830,74627,42328,24367,85911,19904,68510,37851,25920
28897,86988,75355,69517,53865,35890,66500,58029,93366,20379,87084,4485
99939,1408,97460,44531,46752,48030,53320,82188,19589,58560,57325,54439
48972,43011,38313,69777,98249,92835,16293,98341,3797,71704,99127,31796
56287,2377,58175,95942,33494,70166,674,46144,29156,35191,29779,65554
66387,46061,19026,43983,50302,82422,54742,60392,81454,46874,10074,38508
97681,73438,40533,46584,40957,60880,75435,23330,7625,45045,55374,3764
91168,88236,26615,42665,46799,10438,39544,79816,4584,22780,57496,8324
90960,30799,84540,45695,64851,37648,41285,2224,88449,54078,82928,27578
80323,9200,18179,93558,82108,13718,69513,56840,81033,20822,24051,65616
26535,74370,12405,59242,27851,3779,41038,81748,45755,49552,67063,15067
39971,54757,61792,37526,36995,17028,48928,47307,92834,84728,35519,15066
93013,39978,18524,38338,58824,78020,34288,12353,28377,19460,51317,46666
57309,66909,19315,4286,85272,40115,41830,10418,34675,40283,51725,49877
631,40710,41192,10652,69432,30189,54723,20986,26997,42109,20302,94104
23450,16068,21398,84739,51289,83660,36473,30146,21961,68468,79777,47830
75195,45606,2145,75909,85785,16178,26702,93888,44076,49458,51559,57284
90674,35932,88710,45563,5557,94914,38559,87114,22229,89717,27430,46439
18217,92689,40857,35526,47281,77566,57528,3467,40420,29431,37283,96345
93114,15990,18374,36572,21825,38939,72609,88299,57261,40531,21783,80183
41836,61379,76424,45400,12474,55555,72411,6263,10175,46334,38105,95355
47462,29197,17570,70390,69067,96614,62608,6519,50252,88526,25527,37975
46055,66535,30894,96787,34221,88393,15888,90084,38059,18301,92763,40124
17834,65815,80486,94254,96760,83503,67482,92312,80662,89735,78525,47063
49833,60013,48993,78662,5971,77206,62355,1491,31685,60477,30010,12700
85302,53886,69760,61843,88383,20864,33553,75409,65022,55254,26878,91477
25716,34663,89833,38435,97333,93795,58345,13815,582,70878,65029,56587
